"VID","TimeStep","vel_x","vel_y","accel_x","accel_y","yaw","numberOfLanesToMedian","numberOfLanesToCurb","headway","distanceToIntersection","turn"
"1.0",27.0,8.500731227830323e-16,13.882747635887936,NA,NA,90.0,0,0,NA,75.00098561927135,NA
"2.0",27.0,-13.698607842973434,13.698607842973434,NA,NA,180.0,0,0,NA,32.15306179157766,NA
"1.0",27.2,8.484109878281166e-16,13.855602912101896,NA,NA,90.0,0,0,NA,72.23056143884659,NA
"2.0",27.2,-13.6865404366469,13.6865404366469,NA,NA,180.0,0,0,NA,34.88704603548935,NA
"1.0",27.4,8.500485611088889e-16,13.882346513308585,NA,NA,90.0,0,0,NA,69.45484560668146,NA
"2.0",27.4,-13.793710595481098,13.793710595481098,NA,NA,180.0,0,0,NA,37.64292708791763,NA
"1.0",27.6,8.509783665841627e-16,13.897531389077194,NA,NA,90.0,0,0,NA,66.67615646872338,NA
"2.0",27.6,-13.697975592012517,13.697975592012517,NA,NA,180.0,0,0,NA,40.38006767033201,NA
"2.1",27.6,8.364376873563911e-16,13.66006407625042,NA,NA,90.0,0,0,25.11123818698792,99.28068775800587,NA
"1.0",27.8,8.434025608972667e-16,13.773809093111195,NA,NA,90.0,0,0,NA,63.92227462171695,NA
"2.0",27.8,-13.886634261347353,13.886634261347353,NA,NA,180.0,0,0,NA,43.155224146777456,NA
"2.1",27.8,8.443286493310589e-16,13.788933264985682,NA,NA,90.0,0,0,25.108213352613006,96.52329287622534,NA
"1.0",28.0,8.360789831305782e-16,13.654205991681666,NA,NA,90.0,0,0,NA,61.19238394167081,NA
"2.0",28.0,-13.731157377860509,13.731157377860509,NA,NA,180.0,0,0,NA,45.89956770518668,NA
"2.1",28.0,8.369980037054827e-16,13.669214736660942,NA,NA,90.0,0,0,25.105211603617136,93.78986103707008,NA
"1.0",28.2,8.373183703989476e-16,13.67444672181271,NA,NA,90.0,0,0,NA,58.45853551209008,NA
"2.0",28.2,-13.766576655632816,13.766576655632816,NA,NA,180.0,0,0,NA,48.65120413744234,NA
"2.1",28.2,8.449587072967444e-16,13.79922289242968,NA,NA,90.0,0,0,25.080256369493725,91.03045652128694,NA
"1.0",28.4,8.363886336877588e-16,13.659262969046832,NA,NA,90.0,0,0,NA,55.727824655354546,NA
"2.0",28.4,-13.685851743523964,13.685851743523964,NA,NA,180.0,0,0,NA,51.386883709838585,NA
