"s","a","r","sp"
255268,0,-1,254611
254611,0,-1,254611
254611,0,-1,254611
254611,0,-1,254611
254611,0,-1,254602
254602,0,-1,254602
254602,0,-1,254602
254602,0,-1,254602
254602,0,-1,254593
254593,0,-1,254593
254593,0,-1,254593
254593,0,-1,249409
249409,0,-1,249400
249400,0,-1,254584
254584,0,-1,254584
254584,0,-1,254584
254584,0,-1,254584
254584,0,-1,254584
254584,0,-1,254584
254584,0,-1,254584
254584,0,-1,290872
290872,1,-7,1234
1234,0,-1,255250
255250,0,-1,255250
255250,0,-1,255250
255250,0,-1,255241
255241,0,-1,250057
250057,0,-1,250057
250057,0,-1,255232
255232,0,-1,291520
291520,0,-1,255232
255232,0,-1,255232
255232,0,-1,255232
255232,0,-1,254584
254584,0,-1,254584
254584,0,-1,254584
254584,0,-1,254584
254584,0,-1,290872
290872,0,-1,290881
290881,0,-1,182017
182017,0,-1,73153
73153,0,-1,73153
73153,0,-1,77698
77698,0,-1,22655
22655,0,-1,22664
22664,0,-1,17480
17480,0,-1,22664
22664,0,-1,22664
22664,0,-1,64135
64135,0,-1,64144
64144,0,-1,64144
64144,0,-1,64144
64144,0,-1,64144
64144,0,-1,27856
27856,0,-1,27856
27856,0,-1,64144
64144,0,-1,69328
69328,0,-1,22672
22672,0,-1,58960
58960,0,-1,22672
22672,0,-1,58960
58960,0,-1,74512
74512,0,-1,38224
38224,0,-1,38224
38224,0,-1,41464
41464,0,-1,41464
41464,0,-1,77752
77752,0,-1,77752
77752,0,-1,99138
99138,1,0,73
73,0,-1,25993
25993,0,-1,20809
20809,0,-1,20809
20809,0,-1,20809
20809,0,-1,20809
20809,0,-1,20809
20809,0,-1,20809
20809,0,-1,25993
25993,0,-1,25993
25993,0,-1,20809
20809,0,-1,20809
20809,0,-1,20810
20810,0,-1,20810
20810,0,-1,20810
20810,0,-1,25994
25994,0,-1,20809
20809,0,-1,15625
15625,0,-1,25993
25993,0,-1,25993
25993,0,-1,25993
25993,0,-1,15625
15625,0,-1,20809
20809,0,-1,25993
25993,0,-1,20809
20809,0,-1,20809
20809,0,-1,20809
20809,0,-1,20809
20809,0,-1,256673
256673,0,-1,256664
256664,0,-1,256664
256664,0,-1,257231
257231,0,-1,257230
257230,0,-1,257221
257221,0,-1,257221
257221,0,-1,257221
257221,0,-1,257212
257212,0,-1,257212
257212,0,-1,257212
257212,0,-1,257212
257212,0,-1,256564
256564,0,-1,256564
256564,0,-1,256555
256555,0,-1,256555
256555,0,-1,256555
256555,0,-1,256555
256555,1,-127,640
640,0,-1,21376
21376,0,-1,21376
21376,0,-1,21376
21376,0,-1,57664
57664,0,-1,21376
21376,0,-1,57664
57664,0,-1,25994
25994,0,-1,25994
25994,0,-1,25994
25994,0,-1,25993
25993,0,-1,21376
21376,0,-1,21376
21376,0,-1,21376
21376,0,-1,21376
21376,0,-1,21376
21376,0,-1,16192
16192,0,-1,21376
21376,0,-1,21376
21376,0,-1,21376
21376,0,-1,21376
21376,0,-1,21376
21376,0,-1,73216
73216,0,-1,73216
73216,0,-1,36928
36928,0,-1,36928
36928,0,-1,36928
36928,0,-1,36928
36928,0,-1,73216
73216,0,-1,21457
21457,0,-1,26641
26641,0,-1,16273
16273,0,-1,21457
21457,0,-1,21457
21457,0,-1,21457
21457,0,-1,21457
21457,0,-1,21457
21457,0,-1,21457
21457,0,-1,31825
31825,0,-1,31825
31825,0,-1,31825
31825,0,-1,37009
37009,0,-1,31825
31825,0,-1,31825
31825,0,-1,31825
31825,0,-1,99299
99299,0,-1,57827
57827,0,-1,57827
57827,0,-1,16355
16355,0,-1,16355
16355,0,-1,21539
21539,0,-1,21539
21539,1,-182,1939
1939,0,-1,105619
105619,0,-1,100435
100435,0,-1,141906
141906,0,-1,178194
178194,0,-1,141906
141906,0,-1,136722
136722,0,-1,136722
136722,0,-1,141906
141906,0,-1,178194
178194,0,-1,219666
219666,0,-1,141906
141906,0,-1,100434
100434,0,-1,178194
178194,0,-1,136722
136722,0,-1,141906
141906,0,-1,100434
100434,0,-1,141906
141906,0,-1,141906
141906,0,-1,136721
136721,0,-1,178193
178193,0,-1,136721
136721,0,-1,178193
178193,0,-1,136721
136721,0,-1,178193
178193,0,-1,136721
136721,0,-1,141905
141905,0,-1,64145
64145,0,-1,22673
22673,0,-1,22673
22673,0,-1,64145
64145,0,-1,58961
58961,0,-1,17489
17489,0,-1,22673
22673,0,-1,22673
22673,0,-1,22672
22672,0,-1,22672
22672,0,-1,22672
22672,0,-1,58960
58960,0,-1,22672
22672,0,-1,22672
22672,0,-1,22672
22672,0,-1,64144
64144,0,-1,64144
64144,0,-1,22672
