"s","a","r","sp"
251,0,-1,251
251,0,-1,251
251,0,-1,251
251,0,-1,251
251,0,-1,251
251,0,-1,256
256,0,-1,256
256,0,-1,293
293,0,-1,268
268,0,-1,268
268,0,-1,268
268,0,-1,268
268,0,-1,268
268,0,-1,268
268,0,-1,268
268,0,-1,268
268,0,-1,263
263,0,-1,262
262,0,-1,262
262,0,-1,262
262,0,-1,262
262,0,-1,262
262,0,-1,262
262,0,-1,257
257,0,-1,257
257,0,-1,257
257,0,-1,257
257,0,-1,257
257,0,-1,257
257,0,-1,256
256,0,-1,256
256,0,-1,151
151,0,-1,151
151,0,-1,151
151,0,-1,151
151,0,-1,151
151,0,-1,151
151,0,-1,151
151,0,-1,151
151,0,-1,151
151,0,-1,151
151,0,-1,151
151,0,-1,151
151,0,-1,151
151,0,-1,151
151,0,-1,26
26,0,-1,26
26,0,-1,31
31,0,-1,31
31,0,-1,263
263,0,-1,263
263,0,-1,262
262,0,-1,262
262,0,-1,262
262,0,-1,262
262,0,-1,262
262,0,-1,262
262,0,-1,132
132,0,-1,132
132,0,-1,132
132,0,-1,132
132,0,-1,132
132,0,-1,132
132,0,-1,131
131,0,-1,126
126,0,-1,126
126,0,-1,126
126,0,-1,126
126,0,-1,126
126,0,-1,126
126,0,-1,126
126,0,-1,126
126,0,-1,126
126,0,-1,1
1,0,-1,1
1,0,-1,1
1,0,-1,1
1,0,-1,26
26,0,-1,26
26,0,-1,26
26,0,-1,26
26,0,-1,31
31,0,-1,406
406,0,-1,112
112,0,-1,112
112,0,-1,112
112,0,-1,112
112,0,-1,112
112,0,-1,112
112,0,-1,112
112,0,-1,112
112,0,-1,112
112,0,-1,112
112,0,-1,116
116,0,-1,116
116,0,-1,116
116,0,-1,116
116,0,-1,268
268,0,-1,268
268,0,-1,268
268,0,-1,268
268,0,-1,267
267,0,-1,267
267,0,-1,267
267,0,-1,267
267,0,-1,267
267,0,-1,272
272,0,-1,272
272,0,-1,147
147,0,-1,146
146,0,-1,146
146,0,-1,146
146,0,-1,148
148,0,-1,148
148,0,-1,148
148,0,-1,148
148,0,-1,148
148,0,-1,148
148,0,-1,148
148,0,-1,148
148,0,-1,148
148,0,-1,148
148,0,-1,148
148,0,-1,147
147,0,-1,147
147,0,-1,147
147,0,-1,147
147,0,-1,147
147,0,-1,147
147,0,-1,146
146,0,-1,146
146,0,-1,146
146,0,-1,398
398,0,-1,398
398,0,-1,398
398,0,-1,398
398,0,-1,398
398,0,-1,398
398,0,-1,398
398,0,-1,398
398,0,-1,398
398,0,-1,398
398,0,-1,398
398,0,-1,397
397,0,-1,397
397,0,-1,397
397,0,-1,397
397,0,-1,397
397,0,-1,397
397,0,-1,396
396,0,-1,396
396,0,-1,396
396,0,-1,325
325,0,-1,325
325,0,-1,325
325,0,-1,324
324,0,-1,324
324,0,-1,324
324,0,-1,324
324,0,-1,324
324,0,-1,324
