"VID","TimeStep","vel_x","vel_y","accel_x","accel_y","yaw","numberOfLanesToMedian","numberOfLanesToCurb","headway","distanceToIntersection","turn"
2.0,20.6,8.477557186121454e-16,13.84490155369509,4.067155441959587e-17,0.6642168900929347,90.0,0,0,NA,60.42686725071475,"right"
2.0,20.8,8.3918120188544515e-16,13.70486906869337,-4.287258363350164e-17,-0.7001624250086038,90.0,0,0,NA,57.686964019185034,"right"
2.0,21.0,8.498654402303866e-16,13.879355922411197,5.342119172470747e-17,0.8724342685891382,90.0,0,0,NA,54.91228595316352,"right"
2.0,21.2,8.420474083151438e-16,13.751677771932446,-3.9090159576214184e-17,-0.638390752393756,90.0,0,0,NA,52.163257751723776,"right"
2.0,21.4,8.44709652699498e-16,13.795155522190035,1.3311221921771207e-17,0.21738875128794433,90.0,0,0,NA,49.40568434658307,"right"
2.0,21.6,8.461367222652957e-16,13.818461336842738,7.135347828988453e-18,0.11652907326351644,90.0,0,0,NA,46.64362508270294,"right"
2.0,21.8,8.358135868862482e-16,13.649871742092074,-5.161567689523785e-17,-0.8429479737533215,90.0,0,0,NA,43.915465546002125,"right"
2.0,22.0,8.392812933506839e-16,13.706503686369397,1.7338532322178655e-17,0.28315972138661316,90.0,0,0,NA,41.176229213004504,"right"
2.0,22.2,8.444500231971892e-16,13.790915450644679,2.5843649232526563e-17,0.42205882137641354,90.0,0,0,NA,38.42042044786715,"right"
2.0,22.4,8.366448350682041e-16,13.663447055113503,-3.902594064492578e-17,-0.6373419776558831,90.0,0,0,NA,35.6904451689896,"right"
2.0,22.6,8.383993451505294e-16,13.692100379215553,8.772550411626938e-18,0.14326662051025224,90.0,0,0,NA,32.95519623179952,"right"
2.0,22.8,8.507299052054955e-16,13.893473706832156,6.16528002748307e-17,1.0068666380830162,90.0,0,0,NA,30.180307159199224,"right"
2.0,23.0,8.476877273345329e-16,13.843791171866469,-1.5210889354813442e-17,-0.2484126748284341,90.0,0,0,NA,27.416107766086753,"right"
2.0,23.2,8.452012205839164e-16,13.803183434968815,-1.2432533753082345e-17,-0.20303868448826884,90.0,0,0,NA,24.66103489614721,"right"
2.0,23.4,8.477238348028652e-16,13.844380851574243,1.2613071094744193e-17,0.20598708302714003,90.0,0,0,NA,21.89914682543774,"right"
2.0,23.6,8.435483460802778e-16,13.7761899458291,-2.0877443612937092e-17,-0.3409545287257133,90.0,0,0,NA,19.152865686127544,"right"
2.0,23.8,8.355444701160831e-16,13.645476731704548,-4.00193798209738e-17,-0.6535660706227665,90.0,0,0,NA,16.43559807707529,"right"
2.0,24.0,8.381505131441569e-16,13.688036644160748,1.3030215140369164e-17,0.21279956228100158,90.0,0,0,NA,13.714575243614444,"right"
2.0,24.2,8.395556425187431e-16,13.710984148299321,7.025646872930973e-18,0.1147375206928651,90.0,0,0,NA,10.997246459648526,"right"
2.0,24.4,8.458508617091841e-16,13.81379287967924,3.1476095952204906e-17,0.5140436568996005,90.0,0,0,NA,8.27614872843374,"right"
2.0,24.6,8.416750623972659e-16,13.745596901625396,-2.087899655959114e-17,-0.3409798902692275,90.0,0,0,NA,5.609061061227688,"right"
2.0,24.8,-1.6833803008251302,13.834216661797837,-8.416901504125686,0.443098800862211,96.98920701313006,NA,NA,NA,3.5284241828539153,"right"
2.0,25.0,-9.356013201234312,13.680524959894829,-38.36316450204605,-0.768458509515047,133.14859814772376,NA,NA,NA,4.932522835560963,"right"
2.0,25.2,-13.727299849690558,13.8648158007022,-21.85643324228131,0.9214542040368588,171.92362031648304,0,0,NA,7.596390471000834,"right"
2.0,25.4,-13.738458879794926,13.738458879794926,-0.05579515052184034,-0.6317846045363695,180.0,0,0,NA,10.295794487880057,"right"
2.0,25.6,-13.707831183229573,13.707831183229573,0.15313848282676956,-0.15313848282676956,180.0,0,0,NA,13.009347075291824,"right"
2.0,25.8,-13.695331123559736,13.695331123559736,0.06250029834918203,-0.06250029834918203,180.0,0,0,NA,15.730129878252125,"right"
2.0,26.0,-13.840391070526094,13.840391070526094,-0.7252997348317906,0.7252997348317906,180.0,0,0,NA,18.485218175617526,"right"
2.0,26.2,-13.73515023667831,13.73515023667831,0.5262041692389215,-0.5262041692389215,180.0,0,0,NA,21.22269948320138,"right"
2.0,26.4,-13.69826910537202,13.69826910537202,0.18440565653144847,-0.18440565653144847,180.0,0,0,NA,23.95500769477649,"right"
2.0,26.6,-13.682996425693855,13.682996425693855,0.07636339839082879,-0.07636339839082879,180.0,0,0,NA,26.685773313974522,"right"
2.0,26.8,-13.681308068060316,13.681308068060316,0.008441788167692395,-0.008441788167692395,180.0,0,0,NA,29.417286019774867,"right"
2.0,27.0,-13.698607842973434,13.698607842973434,-0.08649887456559066,0.08649887456559066,180.0,0,0,NA,32.15306179157766,"right"
2.0,27.2,-13.6865404366469,13.6865404366469,0.06033703163266701,-0.06033703163266701,180.0,0,0,NA,34.88704603548935,"right"
2.0,27.4,-13.793710595481098,13.793710595481098,-0.5358507941709886,0.5358507941709886,180.0,0,0,NA,37.64292708791763,"right"
2.0,27.6,-13.697975592012517,13.697975592012517,0.47867501734290835,-0.47867501734290835,180.0,0,0,NA,40.38006767033201,"right"
2.0,27.8,-13.886634261347353,13.886634261347353,-0.9432933466741866,0.9432933466741866,180.0,0,0,NA,43.155224146777456,"right"
2.0,28.0,-13.731157377860509,13.731157377860509,0.7773844174342265,-0.7773844174342265,180.0,0,0,NA,45.89956770518668,"right"
2.0,28.2,-13.766576655632816,13.766576655632816,-0.17709638886153797,0.17709638886153797,180.0,0,0,NA,48.65120413744234,"right"
2.0,28.4,-13.685851743523964,13.685851743523964,0.40362456054426377,-0.40362456054426377,180.0,0,0,NA,51.386883709838585,"right"
2.0,28.6,-13.875546379457228,13.875546379457228,-0.9484731796663259,0.9484731796663259,180.0,0,0,NA,54.16063533364465,"right"
2.0,28.8,-13.667360852868297,13.667360852868297,1.0409276329446586,-1.0409276329446586,180.0,0,0,NA,56.89289967112752,"right"
2.0,29.0,-13.855018191440031,13.855018191440031,-0.938286692858673,0.938286692858673,180.0,0,0,NA,59.66279183197156,"right"
2.0,29.2,-13.68790187693201,13.68790187693201,0.8355815725401102,-0.8355815725401102,180.0,0,0,NA,62.39937105409496,"right"
