"vid","fid","vel_x","vel_y","Ax","Ay","yaw","numberOfLanesToMedian","numberOfLanesToCurb","headway","dist","nextmove"
"0.1",0.0,8.435796224907727e-16,13.776700728375,-4.6888044693232125e-17,-0.7657398806884963,90.0,0.0,0.0,20.2866255771118,5.650044381176704,0.0
"0.1",0.0,8.466664279248232e-16,13.827112086755223,3.086805434050499e-17,0.504113583802237,90.0,-1.0,-1.0,20.285671880270197,4.346405827833345,0.0
"0.1",0.0,8.449532980475283e-16,13.79913455268601,-1.713129877294866e-17,-0.2797753406921366,90.0,-1.0,-1.0,20.29516143829686,3.1141671286662436,0.0
"0.1",0.0,8.444857070904717e-16,13.791498212846928,-4.6759095705662664e-18,-0.07636339839081074,90.0,-1.0,-1.0,20.30377799144744,2.077276887715904,0.0
"0.1",0.0,8.46592786312247e-16,13.825909427953885,2.1070792217752885e-17,0.3441121510695666,90.0,-1.0,-1.0,20.30025245205507,1.6544027205235405,0.0
"0.1",0.0,8.469356319743342e-16,13.831508522522636,3.428456620872128e-18,0.05599094568751184,90.0,-1.0,-1.0,20.304741440176343,2.232446308209233,0.0
"0.1",0.0,8.483323057369432e-16,13.854317936038132,1.3966737626090446e-17,0.22809413515496146,90.0,-1.0,-1.0,20.303141063147766,3.327156777474576,0.0
"0.1",0.0,8.510539459957867e-16,13.898765694538598,2.7216402588434792e-17,0.44447758500465895,90.0,-1.0,-1.0,20.29543906584413,4.586173758567503,0.0
"0.2",0.0,6.819655013314845e-16,11.13734183286635,-2.4484898028959105e-16,-3.998687302495121,90.0,0.0,0.0,1000.0,23.226351672379817,0.0
"0.2",0.0,6.661395252801212e-16,10.878884029973596,-1.5825976051363382e-16,-2.584578028927531,90.0,0.0,0.0,1000.0,22.141346732932064,0.0
"0.2",0.0,6.417455038477584e-16,10.480499427174701,-2.4394021432362803e-16,-3.983846027988953,90.0,0.0,0.0,1000.0,21.096355541049736,0.0
"0.2",0.0,6.261032243903043e-16,10.225041617325449,-1.5642279457454086e-16,-2.5545780984925237,90.0,0.0,0.0,1000.0,20.077142887417516,0.0
"0.2",0.0,6.033528100082114e-16,9.85349915466711,-2.2750414382092894e-16,-3.7154246265833812,90.0,0.0,0.0,1000.0,19.095297867368142,0.0
"0.2",0.0,5.871719439776947e-16,9.589245558580755,-1.618086603051665e-16,-2.6425359608635546,90.0,0.0,0.0,1000.0,18.14014914803718,0.0
"0.2",0.0,5.689806970053229e-16,9.29215995014186,-1.819124697237184e-16,-2.9708560843889487,90.0,0.0,0.0,1000.0,17.214992527924807,0.0
"0.2",0.0,5.509497414121079e-16,8.99769209858223,-1.8030955593214965e-16,-2.9446785155963084,90.0,0.0,0.0,1000.0,16.319593624315758,0.0
"0.2",0.0,5.261670576589943e-16,8.592960158395584,-2.4782683753113624e-16,-4.047319401866449,90.0,0.0,0.0,1000.0,15.464944926410455,0.0
"0.2",0.0,5.138846520946958e-16,8.392373253292007,-1.228240556429847e-16,-2.0058690510357735,90.0,0.0,0.0,1000.0,14.630771948368013,0.0
"0.2",0.0,4.924421585853268e-16,8.042190759461164,-2.144249350936898e-16,-3.501824938308431,90.0,0.0,0.0,1000.0,13.83198079175026,0.0
"0.0",0.0,8.492421816004114e-16,13.869177336546127,8.492421816004113e-15,138.69177336546124,90.0,0.0,0.0,1000.0,55.17741486976927,0.0
"0.0",0.0,8.443147522340365e-16,13.788706308167894,-4.927429366374923e-17,-0.8047102837823239,90.0,0.0,0.0,1000.0,53.7991766859127,0.0
"0.0",0.0,8.510885019297393e-16,13.899330035767052,6.773749695702847e-17,1.1062372759915817,90.0,0.0,0.0,1000.0,52.40991487564777,0.0
"0.0",0.0,8.44401929523519e-16,13.790130021348595,-6.686572406220356e-17,-1.0920001441845706,90.0,0.0,0.0,1000.0,51.0316039173343,0.0
"0.0",0.0,8.450691754221643e-16,13.801026973826811,6.6724589864536795e-18,0.10896952478216093,90.0,0.0,0.0,1000.0,49.65224285116666,0.0
"0.0",0.0,8.433983875760009e-16,13.773740937602707,-1.6707878461634476e-17,-0.2728603622410475,90.0,0.0,0.0,1000.0,48.27565118878555,0.0
"0.0",0.0,8.469213786763122e-16,13.831275748501067,3.5229911003113357e-17,0.5753481089836043,90.0,0.0,0.0,1000.0,46.89335555281942,0.0
"0.0",0.0,8.47727372370493e-16,13.844438624437899,8.059936941807337e-18,0.13162875936831853,90.0,0.0,0.0,1000.0,45.509795046352416,0.0
